year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,year_month,year_month_key,delayed_rate,cancellation_rate,avg_delay_min_per_delayed_flight,carrier_cause_share_ct,weather_cause_share_ct,nas_cause_share_ct,security_cause_share_ct,late_aircraft_cause_share_ct,carrier_cause_share_min,weather_cause_share_min,nas_cause_share_min,security_cause_share_min,late_aircraft_cause_share_min,cause_counts_exceed_delayed_flag
2020,12,AS,Alaska Airlines Inc.,BOI,"Boise, ID: Boise Air Terminal",61.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0,0.0,0.0,0.0,2020-12-01,2020-12,0.01639344262295082,0.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
2019,12,AS,Alaska Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",62.0,18.0,4.1,0.0,4.33,0.0,9.57,1.0,0.0,746.0,253.0,0.0,124.0,0.0,369.0,2019-12-01,2019-12,0.2903225806451613,0.015873015873015872,41.44444444444444,0.22777777777777775,0.0,0.24055555555555555,0.0,0.5316666666666667,0.339142091152815,0.0,0.16621983914209115,0.0,0.49463806970509383,False
2020,12,DL,Delta Air Lines Inc.,TUL,"Tulsa, OK: Tulsa International",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-01,2020-12,0.0,0.0,,,,,,,,,,,,False
2019,12,OH,PSA Airlines Inc.,CAE,"Columbia, SC: Columbia Metropolitan",191.0,44.0,13.36,0.0,11.48,0.0,19.16,1.0,0.0,3535.0,806.0,0.0,419.0,0.0,2310.0,2019-12-01,2019-12,0.23036649214659685,0.005208333333333333,80.3409090909091,0.30363636363636365,0.0,0.2609090909090909,0.0,0.4354545454545455,0.22800565770862802,0.0,0.11852899575671853,0.0,0.6534653465346535,False
2019,12,OH,PSA Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",145.0,32.0,10.21,0.02,8.01,0.0,13.76,2.0,0.0,1674.0,392.0,3.0,352.0,0.0,927.0,2019-12-01,2019-12,0.2206896551724138,0.013605442176870748,52.3125,0.3190625,0.000625,0.2503125,0.0,0.43,0.23416965352449223,0.0017921146953405018,0.21027479091995221,0.0,0.553763440860215,False
2019,12,OH,PSA Airlines Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",170.0,48.0,13.03,2.31,9.39,0.0,23.27,0.0,0.0,3381.0,969.0,123.0,399.0,0.0,1890.0,2019-12-01,2019-12,0.2823529411764706,0.0,70.4375,0.2714583333333333,0.048125,0.19562500000000002,0.0,0.4847916666666667,0.28660159716060335,0.03637976929902396,0.11801242236024845,0.0,0.5590062111801242,False
2019,12,YV,Mesa Airlines Inc.,CRP,"Corpus Christi, TX: Corpus Christi International",110.0,36.0,11.92,0.0,5.1,0.0,18.98,2.0,0.0,3779.0,1285.0,0.0,201.0,0.0,2293.0,2019-12-01,2019-12,0.32727272727272727,0.017857142857142856,104.97222222222223,0.33111111111111113,0.0,0.14166666666666666,0.0,0.5272222222222223,0.3400370468377878,0.0,0.053188674252447735,0.0,0.6067742789097645,False
2019,12,UA,United Air Lines Inc.,CHS,"Charleston, SC: Charleston AFB/International",64.0,10.0,0.67,1.15,1.12,0.0,7.07,0.0,0.0,799.0,27.0,53.0,40.0,0.0,679.0,2019-12-01,2019-12,0.15625,0.0,79.9,0.067,0.11499999999999999,0.11200000000000002,0.0,0.7070000000000001,0.03379224030037547,0.06633291614518148,0.05006257822277847,0.0,0.8498122653316645,True
2019,12,YV,Mesa Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",43.0,11.0,7.8,0.0,0.31,0.0,2.89,2.0,0.0,539.0,376.0,0.0,10.0,0.0,153.0,2019-12-01,2019-12,0.2558139534883721,0.044444444444444446,49.0,0.7090909090909091,0.0,0.028181818181818183,0.0,0.26272727272727275,0.6975881261595547,0.0,0.01855287569573284,0.0,0.28385899814471244,False
2019,12,F9,Frontier Airlines Inc.,PNS,"Pensacola, FL: Pensacola International",12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,29.0,0.0,0.0,2019-12-01,2019-12,0.08333333333333333,0.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
